Brand,Name,Boarding_time,Km,Discharge,New_price,Sec_price
福田,蒙派克E 2014款 2.0L 手动 财富快车经典版 汽油 VVT 长轴,2014年2月,6.90万公里,国4,9.75万,5.55
福田,蒙派克E 2014款 2.0L 手动 财富快车经典版 汽油 长轴,2014年8月,5.60万公里,国4,9.42万,5.46
福田,蒙派克E 2016款 快运版 2.0L 手动 4G63 高顶型,2016年6月,2.45万公里,国5,8.68万,6.26
福田,风景 2012款 2.0L 486EQV4 汽油 长轴高顶 6座 标准版,2012年5月,6.80万公里,国4,8.63万,2.88
福田,风景 2010款 2.0L 经典型 柴油4D20 短轴低顶,2011年10月,8.30万公里,国3,7.90万,2.58
福田,风景 2012款 2.0L 手动 经典型 汽油 VVT 短轴,2013年6月,6.00万公里,国4,6.46万,2.98
福田,蒙派克E 2014款 2.0L 手动 财富快车经典版 汽油 VVT 长轴,2014年7月,5.00万公里,国4,9.75万,5.39
福田,蒙派克E 2014款 2.0L 手动 财富快车经典版 汽油 VVT 长轴,2014年2月,6.80万公里,国4,9.75万,5.56
福田,风景 2010款 2.0L 经典型 柴油4D20 短轴低顶,2012年11月,9.30万公里,国3,7.90万,3.4
福田,蒙派克E 2014款 2.0L 手动 财富快车经典版 汽油 VVT 长轴,2014年10月,4.10万公里,国4,9.75万,5.4
广汽传祺,传祺GS5 2012款 2.0L 手动 舒适版,2014年7月,7.73万公里,国5,13.44万,6.5
广汽传祺,传祺GS5 2012款 2.0L 自动 周年纪念版,2013年10月,5.00万公里,国5,17.02万,7.77
广汽传祺,传祺GS5 2012款 2.0L 手动 豪华版,2013年3月,7.66万公里,国5,16.59万,6.5
广汽传祺,传祺GS5 2012款 2.0L 手动 舒适版,2014年7月,7.73万公里,国5,13.44万,6.5
哈弗,哈弗H3 2010款 锐意版 2.0L 手动 豪华型,2011年9月,4.40万公里,国4,10.07万,3.2
哈弗,哈弗H6 2011款 2.0L 手动 两驱 精英型,2012年10月,7.20万公里,国4,11.48万,5.5
哈弗,哈弗H6 2011款 2.0L 手动 两驱 精英型 汽油,2013年3月,3.18万公里,国4,11.48万,7.5
哈弗,哈弗H3 2010款 锐意版 2.0L 手动 豪华型,2011年2月,6.29万公里,国4,10.07万,3.5
哈弗,哈弗H6 2011款 2.0L 手动 两驱 精英型,2012年10月,7.20万公里,国4,11.48万,5.5
海马,海马S7 2013款 2.0L 手动 智享版,2014年5月,8.70万公里,国4,12.68万,5
海马,骑士 2013款 2.0L 手动 经典版,2013年5月,6.50万公里,国4,11.48万,4.5
海马,骑士 2013款 2.0L 手动 经典版,2013年5月,6.50万公里,国4,11.48万,3.98
海马,海马S7 2013款 2.0L 手动 智享版,2014年5月,8.70万公里,国4,12.68万,5
华泰,经典圣达菲 2015款 2.0L 手动 两驱 标准型,2017年2月,1.44万公里,国4,7.14万,7
华泰,经典圣达菲 2015款 2.0L 手动 两驱 标准型,2017年2月,1.44万公里,国4,7.14万,7
Jeep,指南者(进口) 2011款 2.0L 自动 运动版,2011年12月,4.70万公里,国4,24.09万,10
Jeep,指南者(进口) 2014款 2.0L 自动 运动版,2016年1月,4.65万公里,国5,24.09万,14
Jeep,指南者(进口) 2014款 2.0L 自动 运动版,2016年1月,4.65万公里,国5,24.09万,13.8
